# ----------------------------------------,,,,,,,,,,
# Solenergy,,,,,,,,,,
# Landing Pages,,,,,,,,,,
# 20160220-20160321,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Landing Page,Date,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
(not set),20160317,1,0.00%,0,0.00%,0,00:00:00,0.00%,0,$0.00
/about us.htm,20160316,1,0.00%,0,0.00%,2,00:00:00,0.00%,0,$0.00
/blog/,20160314,1,0.00%,0,100.00%,1,00:00:00,0.00%,0,$0.00
/blog/,20160317,1,0.00%,0,0.00%,2,00:05:34,0.00%,0,$0.00
/blog/,20160318,1,0.00%,0,100.00%,1,00:00:00,0.00%,0,$0.00
/contact/,20160314,1,0.00%,0,100.00%,1,00:00:00,0.00%,0,$0.00
/contact/,20160321,1,100.00%,1,0.00%,2,00:01:09,0.00%,0,$0.00
/not_found,20160303,1,0.00%,0,0.00%,3,00:00:16,0.00%,0,$0.00
/products.htm,20160316,1,0.00%,0,0.00%,8,00:00:16,0.00%,0,$0.00
/projects/,20160222,1,0.00%,0,0.00%,3,00:00:04,0.00%,0,$0.00
/projects/8-rockwell/,20160309,1,0.00%,0,0.00%,2,00:11:11,0.00%,0,$0.00
/projects/pampanga3/,20160304,1,100.00%,1,0.00%,2,00:00:00,0.00%,0,$0.00
/projects/robinsons-place-iloilo/,20160304,1,0.00%,0,100.00%,1,00:00:00,0.00%,0,$0.00
/projects/robinsons-place-iloilo/,20160307,1,0.00%,0,0.00%,7,00:00:41,0.00%,0,$0.00
/projects/solenergy-head-office/,20160222,1,0.00%,0,100.00%,1,00:00:00,0.00%,0,$0.00
/solar-panels-philippines-benfits-solar-energy/,20160320,1,0.00%,0,100.00%,1,00:00:00,0.00%,0,$0.00
/solar-power-philippines-all-about-solar-panels/,20160317,1,0.00%,0,0.00%,2,00:01:00,0.00%,0,$0.00
,,784,72.70%,570,61.48%,1.45,00:01:44,0.00%,0,$0.00
,,,,,,,,,,
Day Index,Sessions,,,,,,,,,
2/20/16,8,,,,,,,,,
2/21/16,10,,,,,,,,,
2/22/16,27,,,,,,,,,
2/23/16,33,,,,,,,,,
2/24/16,30,,,,,,,,,
2/25/16,25,,,,,,,,,
2/26/16,22,,,,,,,,,
2/27/16,7,,,,,,,,,
2/28/16,16,,,,,,,,,
2/29/16,31,,,,,,,,,
03/01/16,30,,,,,,,,,
03/02/16,26,,,,,,,,,
03/03/16,28,,,,,,,,,
03/04/16,27,,,,,,,,,
03/05/16,13,,,,,,,,,
03/06/16,18,,,,,,,,,
03/07/16,47,,,,,,,,,
03/08/16,25,,,,,,,,,
03/09/16,26,,,,,,,,,
03/10/16,33,,,,,,,,,
03/11/16,32,,,,,,,,,
03/12/16,17,,,,,,,,,
3/13/16,12,,,,,,,,,
3/14/16,33,,,,,,,,,
3/15/16,25,,,,,,,,,
3/16/16,33,,,,,,,,,
3/17/16,37,,,,,,,,,
3/18/16,40,,,,,,,,,
3/19/16,29,,,,,,,,,
3/20/16,12,,,,,,,,,
3/21/16,32,,,,,,,,,
,784,,,,,,,,,
